,Text
87759,trabajen
87762,flojos
88266,abstinencias
88496,haraganía
88497,holgazanía
88523,crueldades
88561,escritura
88646,pago
88657,vendía
88688,apoderando
88692,contrataba
88705,jugaban a la pelota
88711,MANEE
88715,juego de pelota
88747,poblados
88770,predicar el evangelio
88779,bautizando
88789,trataba
88815,santo bautismo
88835,Poblado
88886,negociar
88891,administraban los sacramentos
88989,pastarán
89036,robado
89039,empalan
89041,despeñan
89043,ahorcan
89052,robos
89053,saltos
89054,salto
89086,saltear
89087,confederados
89088,adunados
89101,vestir
89126,hurtan
89141,epístola
89165,labores del campo
89167,lujuria
89188,borracheces
89227,cuaresmas
89228,confesarse
89229,absolución
89230,comunión
89234,rezar
89237,pecado
89242,Sustentan
89345,juego de ajedrez
89426,sementera grande
89511,Tributábanles
89557,conmemoración
89574,Servían
89589,TASCANME
89632,divorcio
89639,pecados
89641,Purificábanse
89662,vendíase
89669,obras personales
89738,milicia
89771,comprarla
89915,DEZEHOY
89916,mexicana
90143,ensayado
90145,beneficien
90210,diezman
90409,ociosidad
90433,castigan
90437,oficios públicos y reales
90458,administran mal justicia
90459,cohechadores
90460,cohecha
90461,cohechar
90484,carnalidad
90486,incestos
90487,maleficios
90504,agravios
90770,Horadábanse
90879,críen
90891,coman
90991,cultivarlas
90996,de riego
90997,milpillas
91203,riéganla
91503,cultive
91666,Conquistóse
91855,tributario
92092,aprovechamientos
92369,Conquistólos
92990,tributa
93048,servicio personal
93093,tañía
93120,quemando olores
93141,negocios arduos
93171,pecaban
93504,arria
93558,Administran los sacramentos
93930,predicaba
93934,horadasen
93950,untasen
94019,tresquilan
94052,sustentábanse
94273,bautizaban
94533,pintan
94884,comprar algodón
94886,cardándolo
94887,hilándolo
94888,compran lana
94932,cerrajería
94968,Amasan
95205,bailan
95228,fiesta principales
95345,manera de vivir
95359,apaciguar
95361,COSTUMBRES
95583,doctrinarlos
95743,conquisto
95828,fiestas solemnes
95930,comprarlo
96572,administran los santos sacramentos
97185,hierran
97212,trajinarla
97308,briaguez
97352,gobernándose
97530,vagamundo
97650,regando
97909,Conquistóla
98379,sacarles el corazón
98400,ladronicio
98403,morían quemados
98406,desterraban
98700,sacándoles los corazones
98878,sacrificarle
99080,sometieron
99154,bastecerse
99168,visten
99489,elegía
99494,elegían
99514,combatir
99516,vencer
99688,recoge
99955,elegir
100578,visitaba
100579,doctrinaba
100638,era sujeto
101073,ararles
101289,resistencia
101290,embajada
